id;q007;tag1;tag2;tag3
65613;Eleger melhor os atendentes, cursos sobre bom atendimento, empatia.;sugestao;atendimento;cordialidade
65557;Não marcar o agendamento pessoalmente, deveria marcar tanto na sede do sac como pelo aplicativo;reclamacao;agendamento;aplicativo
65557;Marcações pessoalmente, no próprio estabelecimento sem depender totalmente do aplicativo;sugestao;atendimento;aplicativo
65526;O detran poderia agilizar mais nas liberações das provas do detran,muito demora na Marcão ;reclamacao;atendimento;agilidade
65476;Só acho o prazo de entrega do documento muito demorado ;reclamacao;atendimento;agilidade
65474;Demorando para fazer os processos;reclamacao;atendimento;agilidade
65458;A infraestrutura é boa ;elogio;infraestrutura;satisfacao
65428;Meu atendimento foi rapido, a recepcionista foi maravilhosa;elogio;atendimento;agilidade
65419;Gostaria de parabenizar a todo o pessoal do atendimento e equipe, tanto pela praticidade quanto pelo tratamento ao cidadão, sempre de forma educada e bem humorada apesar dos imprevistos. Muito obrigado pelo otimo trabalho!;elogio;atendimento;praticidade
65419;A marcação de horarios para atendimento tem ajudado bastante na organização do local, sugiro que continue deste modo visando dar continuidade a ordem,  e visando evitar grandes aglomerações ou até mesmo conflitos dentro do estabelecimento.;sugestao;atendimento;organizacao
65391;Demora de entrega de documento;reclamacao;atendimento;agilidade
65384;Sugestão divisa produtos lugares ali tá nota 10 bem organizado mesmo de parabéns;sugestao;atendimento;organizacao
65353;Demora um pouco depois que entramos pra ser atendido.;reclamacao;atendimento;agilidade
65255;Tem muito espaço colocar mais assentos ;sugestao;infraestrutura;conforto
65241;Ótimo atendimento, não tive qualquer problema, foi rápido, pratico e muito cômodo. ;elogio;atendimento;praticidade
65236;Atendimento excelente, estrutura limpa e confortável. Serviço nota 10. ;elogio;infraestrutura;conforto
65180;Sistema de agendamento e atendimento bem organizado.;elogio;agendamento;organizacao
65180;Repensar e revisar o valor da taxa de alguns serviços, como por exemplo a transferência e a renovação de CNHs dia cidadãos.;sugestao;atendimento;taxas cobradas
65157;Melhorar a demora ;sugestao;atendimento;agilidade
65141;MUITO SATISFEITO COM O ATENDIMENTO E AGILIDADE DO ÓRGÃO, COM HORA MARCADA PELA INTERNET;elogio;atendimento;agilidade
65123;So a demora  ;reclamacao;atendimento;agilidade
65123;Atender mais rapido;sugestao;atendimento;agilidade
65081;Funcionários grossos, mal educados, ignorantes e indelicados com os cidadãos;reclamacao;atendimento;cordialidade
65071;ESTÁ MUITO BEM ORGANIZADO,LIMPO E EFICIENTE.;elogio;infraestrutura;limpeza
65058;Atendimento agendado via internet da muito conforto e sastifaçao. Tudo muito pontual.;elogio;infraestrutura;conforto
64974;Muita demora na entrega de documentos;reclamacao;atendimento;agilidade
64933;Ao Gerente geral,como não disponibilizar um atendente no posto fixo ;reclamacao;atendimento;cordialidade
64912;Ambiente sem climatização;reclamacao;infraestrutura;climatizacao
64897;Limpeza do ambiente ;elogio;infraestrutura;limpeza
64897;fila desorganizada. Seguir a hora que foi marcado;reclamacao;atendimento;organizacao
64897;abrir horários de atendimento entre as 12 e 13hs para facilitar as pessoas que trabalham. Ter atendimento aos sábados.;sugestao;atendimento;agilidade
64889;Agilidade no atendimento, organização,  sincronismo da equipe, estão de parabéns.;elogio;atendimento;agilidade
64884;Demora pelo atendimento do telefone, quando a gente liga pra agendar ;reclamacao;agendamento;agilidade
64865;Tudo muito bom e agil;elogio;atendimento;agilidade
64838;A estrutura e números das salas são confusas.;reclamacao;infraestrutura;satisfacao
64837;O organização perante a pandemia foi maravilhosa. Foi respeitado o distanciamento. O atendimento foi bem rapido, cada um exerceu sua função perfeitamente. ;elogio;atendimento;agilidade
64824;Ampliar horário de atendimento;sugestao;atendimento;satisfacao
64815;Melhorar o App;sugestao;atendimento;aplicativo
64811;Ficou bem mas organizado por meio de agendamento ;elogio;agendamento;organizacao
64756;Organização da fila externa ;reclamacao;atendimento;organizacao
64755;melhorar o app e o atendimento presencial!;sugestao;atendimento;aplicativo
64696;A demora da entregar da segunda VIA do RG;reclamacao;atendimento;agilidade
64695;Treinar melhor os recepcionistas;sugestao;atendimento;cordialidade
64661;Deveria informar o local correto para agendar no aplicativo do SAC.;sugestao;atendimento;aplicativo
64634;Ótimo atendimento , muito rapido e satisfatório. Só tenho a agradecer.;elogio;atendimento;agilidade
64633;Muita demora para o atendimento;reclamacao;atendimento;agilidade
64633;Precisa melhorar muito principalmente o mau humor de alguns funcionários super grosos com as pessoas;sugestao;atendimento;cordialidade
64610;A infraestrutura do SAC é muito confortável.;elogio;infraestrutura;conforto
64585;Gostaria que as informações do aplicativo do SAC fossem mais claras.;sugestao;atendimento;aplicativo
64581;A DEMORA PARA ATENEDER NO 0800;reclamacao;atendimento;agilidade
64560;Atendentes arrogantes e grossas;reclamacao;atendimento;cordialidade
64560;Trocar ou treinar atendentes para recepcionar clientes ;sugestao;atendimento;cordialidade
64534;Atendimento a criança demora muito ;reclamacao;atendimento;agilidade
64534;Criança como prioridade ;sugestao;atendimento;satisfacao
64532;Climatização do ambiente boa;elogio;infraestrutura;climatizacao
64518;A atendente burocratizou o atendimento que foi remarcado e jogou fora as digitais já coletadas sem entrar em contato conosco;reclamacao;atendimento;cordialidade
64506;Muita demora do agendamento até a conclusão do serviço agendado.;reclamacao;agendamento;agilidade
64502;A infraestrutura externa deixa a desejar.;reclamacao;infraestrutura;satisfacao
64501;Demora na Entrega do documento,  no Agendamento, e respeito com o cidadão.   ;reclamacao;agendamento;agilidade
64476;muito bom gostei, atendimento rapido e eficaz;elogio;atendimento;agilidade
64456;Fui dirigida ao orgão não especifico do que deveria,e não compreendi a falta de etica da atendente fzer isso.;reclamacao;atendimento;cordialidade
64456;Sugiro novo atendimento pelo mesmo, ou contato com a cidadã p resolver sendo que p marcar demora quase 1 mês de tendiemento. Sugiro sejam claro p resolver a questão do cliente.;sugestao;atendimento;agilidade
64408;Pra mim estão tudo bem organizado ;sugestao;atendimento;organizacao
64406;Outro atendente não chamou na sequência.;reclamacao;atendimento;cordialidade
64390;sac de periperi sem estrutura;reclamacao;infraestrutura;satisfacao
64380;Alguns atendentes faz seu trabalho com mal vontade ao recepcionar alguns crientes;reclamacao;atendimento;cordialidade
64309;Muitas brincadeiras no setor, o que acabou demorando no atendimento.;reclamacao;atendimento;agilidade
64234;A agilidade  e o tempo de espera no atendimento  vcs estão de parabéns. ;elogio;atendimento;agilidade
64204;Ser mas organizado e sem cara feira para os clientes.;sugestao;atendimento;organizacao
64151;funcionários mal humorados, atendem muito mal, são grossos, mal educados ;reclamacao;atendimento;cordialidade
64151;melhorar o atendimento aos clientes, treinar os funcionários para serem mais educados e bem humorados;sugestao;atendimento;cordialidade
64104;Parabéns pela agilidade e pontualidade ;elogio;atendimento;agilidade
64097;Parabéns a equipe que compõe o SAC GUANAMBI, não sei que são as pessoas, são rostos desconhecidos, mas o trabalho prestado faz a diferença não só no município de Guanambi, mas uma microrregião muito grande. Faço a ressalva de está em um espaço que faz vários serviços em um único local, isso é de suma importância para quem busca atendimento. Então mais uma vez parabéns desde a limpeza até quem coordena.;elogio;infraestrutura;limpeza
64094;Gostei muito, pricipalmente do Senhor que me atendeu no detran,educado,rapido,execente atendimento.;elogio;atendimento;agilidade
64085;Taxas de serviços muito caro!;reclamacao;atendimento;taxas cobradas
64062;FUI FAZER A RETIRADA DA MINHA PPD, NO ENTANTO O APP DO SAC DIFICILMENTE FUNCIONA BEM, APOS UM DIFICIL AGENDAMENTO AINDA AGENDOU ERRADO E O ATENDETE DA VEZ PODERIA TER SIDO MAIS EDUCADO EM ATENDER-ME E PERCEBERIA O ERRO POREM FOI RUDE E GROSSO ONDE ME FEZ RETORNAR 3 VEZES ATE QUE OUTRA ATENDENTE RESOLVEU O MAL ENTENDIDO, E O MESMO PASSOU OUTRA PESSOA EM MINHA FRENTE SEM AGENDAMENTO.;reclamacao;atendimento;cordialidade
64062;MELHOREM O APLICATIVO OU SEUS SERVIDORES SE QUEREM DISPONIPILIZAR UM SERVIÇO ONLINE PELO MENOS FAÇAM BEM.;sugestao;atendimento;aplicativo
64056;Bastante rapido;elogio;atendimento;agilidade
64048;ter opção de agendar atendimento na recepção do órgão quando houver dificuldade pelo aplicativo;sugestao;atendimento;aplicativo
63950;"Parabéns pelo sistema de agendamento e atendimento durante a pandemia; muito organizado e incentivador quanto as medidas de proteção.";elogio;agendamento;organizacao
63938;Pontual e organizado;elogio;atendimento;pontualidade
63924;Demora muito pra entregar um documento;reclamacao;atendimento;agilidade
63899;A pessoa que estava na porta para organizar a fila e fornecer informações, não teve uma boa abordagem sendo arrogante;reclamacao;atendimento;organizacao
63773;Excelente atendimento, agilidade;elogio;atendimento;agilidade
63636;A taxa absurda cobrada pela renovação da cnh em outra cidade do mesmo estado;reclamacao;atendimento;taxas cobradas
63636;Zerar essa taxa;sugestao;atendimento;taxas cobradas
63620;Gosto das regras . Hora marcada e agendamento prebio;sugestao;agendamento;pontualidade
63569;Desorganização na fila de espera ;reclamacao;atendimento;organizacao
63423;Nus dão a ficha e demorar d mas p chama com com tantos luga p ser chamado ;reclamacao;atendimento;agilidade
63402;Atendimento rapido, segurança no local;elogio;atendimento;agilidade
63356;Não gosto muito da demora nas filas ;reclamacao;atendimento;agilidade
63337;Apenas na recepção atendente um pouco grossa;reclamacao;atendimento;cordialidade
63282;Demorou um pouco;reclamacao;atendimento;agilidade
63282;Demorou um pouco;reclamacao;atendimento;agilidade
63282;Demorou um pouco;reclamacao;atendimento;agilidade
63282;demorou um pouco;reclamacao;atendimento;agilidade
63282;Demorou um Pouco;reclamacao;atendimento;agilidade
63282;Demorou um pouco;reclamacao;atendimento;agilidade
63247;Demora no atendimento através do telefone para dúvidas e marcações;reclamacao;atendimento;agilidade
63053;Atendente nao tem paciência com criança para fazer o rg;reclamacao;atendimento;cordialidade
63004;Disponibilizar bebedouros;sugestao;infraestrutura;bebedouro
62989;Melhora o humor;sugestao;atendimento;cordialidade
62979;O aplicativo,demora muito tempo pra responder as opções..;reclamacao;atendimento;agilidade
62929;Na limpesa espaço fisico;elogio;infraestrutura;limpeza
62918;Quando for só entrega destes documentos citados na reclamação não precisa agendamento porque não demora muito. ;sugestao;agendamento;agilidade
62739;Simplificar as vistorias, optar mais pela segurança do veículo. ;sugestao;infraestrutura;seguranca
62683;Gostei da agilidade ;elogio;atendimento;agilidade
62683;Melhorias nos  atendentes: ter mais simpatia e atenção para os clientes.;reclamacao;atendimento;cordialidade
62670;Estou muito satisfeita com o atendimento e a agilidade dos serviços recebido no SAC . Agradeço a atenção e dedicação de todos , muito obrigada!;elogio;atendimento;agilidade
62652;Excelente a pontualidade dos serviços.;elogio;atendimento;pontualidade
62609;Praticidade no atendimento;elogio;atendimento;praticidade
62609;Praticidade no atendimento;elogio;atendimento;praticidade
62609;Praticidade no atendimento;elogio;atendimento;praticidade
62606;limpeza do local excelente ;elogio;infraestrutura;limpeza
62588;Atendente mal educada ;reclamacao;atendimento;cordialidade
62529;A recepcionista que trabalha no setor de entregas de documentos,muito grossa,sem educação...constrangendo assim quem precisa do atendimento.;reclamacao;atendimento;cordialidade
62521;A fila de senhas demorou pelo sistema caindo;reclamacao;atendimento;agilidade
62429;Demorou muito pra mim atender por falta de empregador;reclamacao;atendimento;agilidade
62376;O App ainda pode melhorar muito em termos de integração de informações e, sobretudo, no que tange à EXPERIÊNCIA DO USUÁRIO.  Percebe-se competência da equipe por trás, porém, talvez falte mais o trabalho de um UX. Sugiro, ainda, que haja possibilidade de encontrar vagas de atendimentos remanescentes naquele dia, já  que imprevistos podem acontecer e  pessoas podem faltar ou não atender a todos as prerrogativas para efetivar o serviço naquele momento. Então, vagas podem surgir de última hora. Espero que isto, nem de longe, ofusque o efeito educacional na população de trabalhar com agendamento e, consequentemente, permitir à gestão a entrega de excelentes serviços como este.;sugestao;atendimento;aplicativo
62284;Sac comércio ótima infraestrutura, espaço grande, adorei!;elogio;infraestrutura;satisfacao
62233;Ambiente limpo;elogio;infraestrutura;limpeza
62233;Ambiente limpo;elogio;infraestrutura;limpeza
62233;Ambiente limpo;elogio;infraestrutura;limpeza
62233;Ambiente limpo;elogio;infraestrutura;limpeza
62233;Ambiente limpo;elogio;infraestrutura;limpeza
62233;Ambiente limpo;elogio;infraestrutura;limpeza
62167;Demora para entregar o documento ;reclamacao;atendimento;agilidade
62167;Melhorar a organização da fila;sugestao;atendimento;organizacao
62136;muito bom atendimento rapido e seguro nessa pandemia todos os protocolo de segurança tomados;elogio;atendimento;agilidade
62107;Demora um pouco mas estou satisfeito;reclamacao;atendimento;agilidade
62059;Rapidez e agilidade no atendimento presencial;elogio;atendimento;agilidade
62013;Demora no atendimento... Fui  agendado para as 13 horas e soh fui atendido as 15 e 30 hs ;sugestao;agendamento;agilidade
61941;MANEIRA UTILIZADA PELO ATENDENTE ;reclamacao;atendimento;cordialidade
61941;TREINAMENTO E QUALIFICAÇÃO / EDUCAÇÃO PARA COM O PROXIMO;sugestao;atendimento;cordialidade
61909;melhor treinamento dos operadores das fotos;sugestao;atendimento;cordialidade
61902;Atendimento pontual;elogio;atendimento;pontualidade
61900;Conforto na espera do atendimento;elogio;infraestrutura;conforto
61873;O atendimento foi excelente e o local bastante confortável ;elogio;infraestrutura;conforto
61823;Atendimento demorado;reclamacao;atendimento;agilidade
61823;Atendimento demorado;reclamacao;atendimento;agilidade
61823;Atendimento demorado;reclamacao;atendimento;agilidade
61769;Muito bom o serviço de atendimento por hora marcada. A pontualidade é 100%;elogio;atendimento;pontualidade
61693;Um atendente grosseiro ;reclamacao;atendimento;cordialidade
61652;Vai apenas para os funcionários da limpeza, estão de parabéns  !;elogio;infraestrutura;limpeza
61652;Nenhum atendente me atendeu bem, tive que esperar 20 min e voltar para a fila de novo. Apesar de o agendamento  estava tudo certinho  conforme solicitado.;reclamacao;atendimento;cordialidade
61650;Um cidadão que dica no atendimento doRG, foi muiro grosseiro, , a mesa Dele cjou o meu número, quando fui pagar o DAE, só vi dp q sentei, aí a moça disse q Eu podia entrar, pois Ele dói.muoro ignorante n gostei de vdd!!! Só n perguntei o nome D lê no SAC Comércio...cabelo grisalho, e amarrado...;reclamacao;atendimento;cordialidade
61614;Atendimento e praticidade no local ;elogio;atendimento;praticidade
61614;Aplicativo está muito ruim para agendar e a ligação para o SAC sempre cai na caica;reclamacao;agendamento;aplicativo
61592;A atendente que faz o RG precisa ser mais simpática;reclamacao;atendimento;cordialidade
61506;Paguei uma taxa de transferência de prontuário sem necessidade, meus dados ainda constavam no sistema do Detran e me cobraram a taxa de transferência de prontuário.;reclamacao;atendimento;taxas cobradas
61506;Se o cidadão ainda tem os dados no sistema qual a necessidade de cobrança da taxa de transferência de prontuário, sugiro que os cidadões que fizeram sua primeira CNH na Bahia e por algum motivo precisou transferir o prontuário pra outro estado, quando migrarem pra Bahia novamente essa taxa deveria ser isenta.;sugestao;atendimento;taxas cobradas
61505;Ótima local e a infraestrutura ;elogio;infraestrutura;satisfacao
61505;Demora na entrega de documentos ;reclamacao;atendimento;agilidade
61467;Demora na entrega dos documentos ;reclamacao;atendimento;agilidade
61432;Atendimento de mal humorado ;reclamacao;atendimento;cordialidade
61299;Pontualidade, responsabilidade e comprometimento agilizam a vida de todos;sugestao;agendamento;pontualidade
61298;O aplicativo para fazer agendamento  não está funcionando ;reclamacao;agendamento;aplicativo
61298;Devido a situação que estamos vivendo do covid19 vcs tem que melhorar o aplicativo para fazermos o agendamento ;sugestao;atendimento;aplicativo
61276;Só na parte da chegada que demora um pouco pra gente fazer a ficha não sei si e por causa da pandemia ;sugestao;atendimento;agilidade
61254;Alguns atendentes fazem seus trabalhos forçados;reclamacao;atendimento;cordialidade
61232;Serviço de limpeza excelente ;elogio;infraestrutura;limpeza
61232;Demora no atendimento;reclamacao;atendimento;agilidade
61209;Telefone fixo demora pra atender ;reclamacao;atendimento;agilidade
61175;O tempo para entrega do documento é muito longo, estou a quase 2 meses sem RG porque demora cerca de um mês e meio para entregar. O aplicativo SAC Digital é bastante funcional para consulta mas completamente inútil para marcação de atendimento, simplesmente não finaliza  a marcação e fica carregando infinitamente.;reclamacao;atendimento;agilidade
61175;Sugiro uma melhora no aplicativo e também mais agilidade na entrega dos documentos.;sugestao;atendimento;aplicativo
61174;Limpeza e climatização do local;elogio;infraestrutura;limpeza
61172;Abrir mais datas e horários para agendamento;sugestao;agendamento;agilidade
61127;Muito grato pela agilidade e simpatia;elogio;atendimento;agilidade
61120;Da atendente que colhe digitais! ;reclamacao;atendimento;cordialidade
61120;Melhor atendentes! Ser mais humanos! ;sugestao;atendimento;cordialidade
61057;Bem limpo o local;elogio;infraestrutura;limpeza
61057;Colocar banheiro  e bebedouro ;sugestao;infraestrutura;bebedouro
61036;Apenas uma ou duas cadeiras no início, ou até na entrada. ;sugestao;infraestrutura;conforto
61020;Demora para entregar;reclamacao;atendimento;agilidade
60987;A atendente que me atendeu (no atendimento em si) era um pouco grossa. ;reclamacao;atendimento;cordialidade
60987;Treinar os atendentes;sugestao;atendimento;cordialidade
60975;Pontual na chamada do horário marcado ;elogio;atendimento;pontualidade
60905;Atendimento , conforto. E tempo de espera nota 100000;elogio;infraestrutura;conforto
60904;Realmente fui tratado a contento e o imóvel conservado limpo ;elogio;infraestrutura;limpeza
60899;agendamento muito demorado;reclamacao;agendamento;agilidade
60899;AGENDAMENTO MUITO DEMORADO;reclamacao;agendamento;agilidade
60864;Informações erradas pela atendente. Minha senha do saco digital não entra pq diz que meu cpf não condiz com o dono da data de nascimento. N?o consigo resolver essa situação em nenhum canal de vcs! ;reclamacao;atendimento;cordialidade
60828;Internet no posto liberado pelo próprio aplicativo para que eles possam marcar atendimento com ajuda dos serviços da recepção ate mesmo, para eles ñ  ficarem tão irritados. ;sugestao;atendimento;aplicativo
60824;A atendente do setor do seguro desemprego atende super bem, sempre com agilidade e conhecimento da sua atividade;elogio;atendimento;agilidade
60788;Demora para entregar o RG. Passa da data prevista.;reclamacao;atendimento;agilidade
60775;Confusão dos atendentes;reclamacao;atendimento;cordialidade
60775;Mais treinamento;sugestao;atendimento;cordialidade
60697;Certa demora para o atendimento mas nada absurdo;reclamacao;atendimento;agilidade
60694;Gostei do atendimento e agilidade não só dos funcionários que ficam controlando a entrada de pessoas como as atendentes dos setores.;elogio;atendimento;agilidade
60694;Na chamada das senhas ,passou quase meia hora chamando a mesma senha antes da minha. Se ver que a pessoa não está ,deveria chamar a senha seguinte e não chamar mais de 4 vezes a senha que a pessoa não está. Fiquei realmente chateada devido a demora, não só eu, mas as que estavam com as senhas depois da minha para o mesmo serviço que é só  entrega da CNH. ;reclamacao;atendimento;agilidade
60659;Boa infraestrutura;elogio;infraestrutura;satisfacao
60659;boa infraestrutura;elogio;infraestrutura;satisfacao
60635;Minhas sugestão se refere a organização do sistema de fichas que deveria funcionar com auxílio da televisão encontrada no local.;sugestao;atendimento;organizacao
60626;Atendimento com cordialidade ;elogio;atendimento;cordialidade
60603;Baixar os custos das TAXAS/DETRAN;sugestao;atendimento;taxas cobradas
60588;Demora muito para conseguir vagas para agendamento ;reclamacao;agendamento;agilidade
60542;Elogiar a Gerencia da unidade de Jequié, pela capacidade de atendimento, agilidade e acolhimento.;elogio;atendimento;agilidade
60420;Alguns funcionários com mal humor;reclamacao;atendimento;cordialidade
60405;Muito satisfeita o ambiente limpo e climatizado,funcionário super educados ,tudo muito organizado.;elogio;infraestrutura;limpeza
60393;A demora na fila de senha;reclamacao;atendimento;agilidade
60373;Demora muito para ter vagas para marcar um atendimento, principalmente sobre a prova do Detran, isso é péssimo.;reclamacao;atendimento;agilidade
60373;Abrir mais salas para que haja mais vagas de atendimento, seguindo os padrões e protocolos de prevenção, poderia ser até mesmo fora do local convencional, mas só mente para as provas teóricas do Detran. Que por sinal é o que demora mais e isso é péssimo;sugestao;atendimento;agilidade
60372;Muito obrigado pelo excelente atendimento e pontualidade de atendimento no horário agendado.;elogio;atendimento;pontualidade
60369;Gostamos muito do atendimento,  e agilidade no processo de execução e entrega. ;elogio;atendimento;agilidade
60286;Providenciar banheiros para acesso dos clientes.;sugestao;infraestrutura;banheiro
60283;Depois do agendamento pelo aplicativo ficou muito mais prático e confortável para resolver ;elogio;infraestrutura;conforto
60261;Limpeza e organização !;elogio;infraestrutura;limpeza
60261;Fui pessimamente atendido por um funcionário grosseiro. Pagando caro pelos serviços Detran e atendente de grosso modo como se estivesse me fazendo um favor.;reclamacao;atendimento;cordialidade
60232;Demora no tempo de espera no salão, até meu número ser chamado, ultrapassando o horário agendado.;reclamacao;agendamento;agilidade
60177;Estão de parabéns pela organização  e limpeza,.;elogio;infraestrutura;limpeza
60116;Só espera que é demorada no painel;reclamacao;atendimento;agilidade
60020;Tentem arrumar o aplicativo que está dando alguns erros para agendamento e também não conseguir tirar meus antecedentes por conta de estar dando algum erro;reclamacao;agendamento;aplicativo
60020;A sugestão é que venham melhorar mais e mais seja no aplicativo e na instituição se reinventem mais obrigado;sugestao;atendimento;aplicativo
60019;muito pratico  esse agendamento;elogio;agendamento;praticidade
60016;na entrega de documentos já agendados poderia ter um funcionário só pra realizar esse serviços pois sabemos que estamos vivendo um período de cuidados;sugestao;agendamento;agilidade
59997;Mas organização de portaria.;sugestao;atendimento;organizacao
59993;Retirada de senha um pouco demorado pois só tem um atendente ;reclamacao;atendimento;agilidade
59992;Vcs deveria deixá  um acompanhante  entrar  tenhe  pessoas  que não sabe  olha na tv;sugestao;infraestrutura;conforto
59989;Competência e agilidade, bom atendimento;elogio;atendimento;agilidade
59928;As pessoas devem ser treinadas para serem resolutivas. Teve outra atendente no mesmo órgão que não teve a mesma iniciativa...;sugestao;atendimento;cordialidade
59843;Parabéns pela organização e agilidade no atendimento;elogio;atendimento;agilidade
